,text,target
0,"এই গুলার জায়গামতো চুঁচড়া লাগিয়ে দেয়া দরকার! যত্তসব ভন্ড!""",1
1,"আসিফ খানকির পোলা, তোর মারে কুত্তা দিয়ে চুদে তোরে পয়দা করসিল",1
2,শুয়োরের জ্ঞান সীমিত তাই সারাদিন গাঁজাখোরদের মত চিল্লাচিল্লি করতে থাকে।,1
3,এই মাদ্রাসার হোগুরকে ডিলডো মেরে শাস্তি দেয়া হোক।,1
4,নাস্তিকতা মানে ই মানুষিক রোগী ।,1
5,এই বানর !!আপনি কোন জংগল থেকে উদিত হইলেন ?,1
6,"সাপের বাচ্চা বুইড়া খাটাস, যে নিজে ছাগু বচন করে বেড়ায়, অমানুষ বলা চলে",1
7,"নেশা করে পুরাই মাতাল, নাস্তীক পারার সদস্য কিনা সে জন্যয় এ অবস্থা",1
8,হাহা ভাইকি গাঞ্জা একটু বেশি খাইছেন,1
9,"ওয়া হাহা হীহী, আগে জান্তাম নাস্তীকরা সেক্স করার জন্য নাতাল, নাস্তীক ছেলে উধারতার নামে তার মা বোন, কন্যার সাথে সেক্স করে, নাস্তীক মেয়ে উধারতার নামে তার পীতা, ভাই নিজার ছেলের সাথে সেক্স করে, এখন দেখি এরা জাতিগত মাতাল! , ছাগলের মাধ্যমে ছাগির পেটে বাচ্চা হয়না, হয় পাঠার মাধ্যমে, নেশা বেশি করেফেলছেন নাকি?",1
10,"হুজুর মাদ্রাসার ছেলেরা ছাগলের সাথে সেক্স করে গরুর সাথে সেক্স করে আমার কাছে যথেষ্ট প্রমাণ আছে, আমাদের নবী দাসী তার ছেলের বউ সাথে সেক্স করেছে",1
11,"হা হা হা, নাস্তীস মাতালদের শেষ হাতিয়ার, মাতলামী যোক্তি আর কথখ্যন চলে!!! তাই কথা গুরিয়ে অন্যদিকে ছুটা! তো আপনি কি গরভ বতি? পেটের সে জারযটা কার,? আপনার বাবার? নাকি ভায়ের? না আপনার মামার? নাকি কত ঘুড়া আপনার উপর সওয়ার হয়েছে সেটা নিজেও জানেন না? আপনারা তো আবার অনেক উধার কাউকে নিষেদ করেন না, এটাই আপনাদের নাস্তীকতার শিক্ষ্যা",1
12,তুই তো একটা বোকাচোদা তোকে দেখালে কি আর না দেখালে কি তুই বোকাচোদা থাকবি,1
13,"ওয়াক থু,,, ছিঃছিঃ সরম! তোমরা শুধু এই কামটাই ভাল পারো, চাই সে বাব হোক বা নিজের সন্তান হোক, এছারা তোমরা নাস্তীক আবালরা আর কিছু পারোনা",1
14,বলদ মুমিন,1
15," কৃষ্ণ জাউররাটার কতটা ধোন ছিল বা কত বড় ধোন ছিল যে অতগুলা মাগি চুদছে,লিলা খেলা করছে।",1
16," কিরে মাদার ফাকার,তুই নাস্তিক সেটা তোর আর তো বউ এর হোগার ভিতর ভইরা রাখ। এগুলা পাব্লিসিটি করার কি আছে ? নিজেরে কি ভাবিস মাদারচোদ? তুই বাংলার জারজ সন্তান এঈটা জানানো খুব বেশি প্রয়োজন??",1
17,নিজেরে কি ভাবিস মাদারচোদ?,1
18,তুমার পক্ষি টা আল্লাহু আকবার কইরা ফালাইয়া দিব মাদারচোদ,1
19,ঐ লোকটা একটা বোকাচোদা,1
20,ধর্মান্ধদের জ্ঞান থাকে শিশ্নের আগায়।,1
21,ক্যারে তুর মারে পাঁচবার চুদার অাগেই ভয়ে কমেন্ট ডিলেট করলি?,1
22,এরাই পরে সেক্স কন্ট্রোল করতে না পেরে ছাগল লাগাই,1
23,"যেই খানকীর পোলা নাস্তিক রা বিরোধীতা করছিস, তোদের সবার বোন দের কে আমি বিয়ে ছাড়া চোদব।",1
24,"বিয়েতেই যেহেতু তোদের আপত্তি, অতএব তোদের জন্য মাগনা চোদন ই ভাল",1
25,তোর বৌ আমাকে দিয়ে গোদের জালা মিটাবে,1
26,বঞ্চদ তুই ও তো একদিন মরবি,1
27,পুরাই বলদ। দুচানি খাও!,1
28,তোরা হলি আসল মাদারচুদ,1
29,"আপনে যে একটা পাডা সেটা কি জানেন, বদনা মহি",1
30,আসিফ একটা মানসিক রোগীর নাম।,1
31,আসিফ একটা কুলাঙ্গার,1
32,একটা রাস্তার কুকুরের সাথে তোর সাথে ততখানি ব্যবধান যতখানি রাস্তার কুত্তা আর পোশা কুত্তার মধ্যে ব্যবধান,1
33,বলদ!,1
34,"আসলই এই নেরি কুত্তার মূল উদ্দেশ‌্যহল ইসলাম দর্মকে আঘাত করা ,,,, 
জাপাানে মানুষের উষ্টালাথি খাইতে খাইতে তার আর ভাল লাগেনা, আবার দেশেও আসতে পাড়েনা, তাই এখন পাগলা কুত্তাহয়ে গেসে।",1
35,ওই কুত্তাটাকে ইতর বললে তো সমস্ত ইতর প্রাণীদের অপমান করা হয়।,1
36,"আল্লাহর হুকুম ছাড়া আমার ধোন খাড়া হয়না, আবার হাত ও মারি আল্লাহর হুকুমেই।",1
37,তুই গর্দভ আগে একটু চিন্তা কর তার পর কমেন্ট কর মূর্খ বেকুব কোথাকার!,1
38,গরম তেল পুটকির মধ্যে একটু ঢালেন কিছুটা হলে ও বুঝতে পারবেন,1
39,এই হচ্ছে দুই লম্পটের চরিত্ত্র,1
40,মাদরাসার হোগামাররি কেন হয়?,1
41,"শুয়ার, জানোয়ার, কুকুরের চাইতে নিকৃস্ট তোরা,, কুকুরের বিস্টা তুরা সকলে",1
42,চুদাদুদির গল্প শুরু করে দেয়।,1
43,মনে হয় হেতের বাপে হেতের মায়ের পর্দা ফাটানি না লাগানি আগে দেইখা নিয়াই বিয়াত বইছিলো।,1
44,আবাল মার্কা পোষ্ট।,1
45,আবাল,1
46,মোহাম্মদ নামক ইতর লোকটি,1
47,যদি সিদ্ধার্থ বড় হয়ে তার মাকে চুদে অর্থাঠ সেক্স করে তবে আসিফ ভাই কি মেনে নিবে?,1
48,লুইচ্চা নবীর হিজড়া উম্মত,1
49,লুইচ্চা,1
50,শুয়োরের বাচ্চা,1
51,শুয়োরের জাত,1
52,বাল পাকনা পোলাপান,1
53,তুই শালা হিজরা,1
54,কুত্তার বাচ্ছা,1
55,হারামির বাচ্চা,1
56,হারামি,1
57,হারামজাদা,1
58,হারামখোর,1
59,খাঙ্কিরপোলা,1
60,খান্কি মাগির পোলা,1
61,চোদনা,1
62,চুদির ভাই,1
63,চুতমারানি,1
64,চুদির পোলা,1
65,তর মায়রে চুদি,1
66,তর মায়রে বাপ,1
67,শালার পো শালা,1
68,হুমুন্দির পুত,1
69,মাঙ্গির পুত,1
70,নাটকির পো,1
71,ল্যাউড়ার পুত,1
72,হাউয়ার পো,1
73,হাউয়ার নাতি,1
74,চুদানির পো,1
75,ভুদার বেটা,1
76,লটির পো,1
77,লটির বেটা,1
78,ভেড়াচ্চোদা,1
79,মাউড়া চোদা,1
