,text,target
0,গুলার জায়গামতো চুঁচড়া লাগিয়ে দেয়া দরকার যত্তসব ভন্ড,1
1,আসিফ খানকির পোলা তোর মারে কুত্তা দিয়ে চুদে তোরে পয়দা করসিল,1
2,শুয়োরের জ্ঞান সীমিত সারাদিন গাঁজাখোরদের মত চিল্লাচিল্লি,1
3,মাদ্রাসার হোগুরকে ডিলডো মেরে শাস্তি দেয়া,1
4,নাস্তিকতা মানে মানুষিক রোগী,1
5,বানর জংগল উদিত হইলেন,1
6,সাপের বাচ্চা বুইড়া খাটাস ছাগু বচন বেড়ায় অমানুষ,1
7,নেশা পুরাই মাতাল নাস্তীক পারার সদস্য কিনা জন্যয় অবস্থা,1
8,হাহা ভাইকি গাঞ্জা একটু খাইছেন,1
9,ওয়া হাহা হীহী জান্তাম নাস্তীকরা সেক্স নাতাল নাস্তীক ছেলে উধারতার নামে মা বোন কন্যার সাথে সেক্স নাস্তীক মেয়ে উধারতার নামে পীতা ভাই নিজার ছেলের সাথে সেক্স দেখি জাতিগত মাতাল ছাগলের ছাগির পেটে বাচ্চা হয়না পাঠার নেশা করেফেলছেন,1
10,হুজুর মাদ্রাসার ছেলেরা ছাগলের সাথে সেক্স গরুর সাথে সেক্স প্রমাণ নবী দাসী ছেলের বউ সাথে সেক্স,1
11,হা হা হা নাস্তীস মাতালদের শেষ হাতিয়ার মাতলামী যোক্তি কথখ্যন কথা গুরিয়ে অন্যদিকে ছুটা গরভ বতি পেটের জারযটা কার বাবার ভায়ের মামার ঘুড়া সওয়ার হয়েছে নিজেও জানেন আপনারা উধার নিষেদ আপনাদের নাস্তীকতার শিক্ষ্যা,1
12,তুই একটা বোকাচোদা তোকে দেখালে দেখালে তুই বোকাচোদা থাকবি,1
13,ওয়াক থু ছিঃছিঃ সরম তোমরা কামটাই ভাল পারো চাই বাব সন্তান এছারা তোমরা নাস্তীক আবালরা পারোনা,1
14,বলদ মুমিন,1
15,কৃষ্ণ জাউররাটার কতটা ধোন বড় ধোন অতগুলা মাগি চুদছেলিলা খেলা,1
16,কিরে মাদার ফাকারতুই নাস্তিক তোর বউ হোগার ভিতর ভইরা রাখ এগুলা পাব্লিসিটি নিজেরে ভাবিস মাদারচোদ তুই বাংলার জারজ সন্তান এঈটা প্রয়োজন,1
17,নিজেরে ভাবিস মাদারচোদ,1
18,তুমার পক্ষি টা আল্লাহু আকবার কইরা ফালাইয়া দিব মাদারচোদ,1
19,লোকটা একটা বোকাচোদা,1
20,ধর্মান্ধদের জ্ঞান শিশ্নের আগায়,1
21,ক্যারে তুর মারে পাঁচবার চুদার অাগেই ভয়ে কমেন্ট ডিলেট করলি,1
22,এরাই সেক্স কন্ট্রোল পেরে ছাগল লাগাই,1
23,যেই খানকীর পোলা নাস্তিক রা বিরোধীতা করছিস তোদের বোন দের বিয়ে চোদব,1
24,বিয়েতেই যেহেতু তোদের আপত্তি তোদের মাগনা চোদন ভাল,1
25,তোর বৌ গোদের জালা মিটাবে,1
26,বঞ্চদ তুই একদিন মরবি,1
27,পুরাই বলদ দুচানি খাও,1
28,তোরা হলি আসল মাদারচুদ,1
29,আপনে একটা পাডা জানেন বদনা মহি,1
30,আসিফ একটা মানসিক রোগীর নাম,1
31,আসিফ একটা কুলাঙ্গার,1
32,একটা রাস্তার কুকুরের সাথে তোর সাথে ততখানি ব্যবধান যতখানি রাস্তার কুত্তা পোশা কুত্তার ব্যবধান,1
33,বলদ,1
34,আসলই নেরি কুত্তার মূল উদ্দেশ‌্যহল ইসলাম দর্মকে আঘাত জাপাানে মানুষের উষ্টালাথি খাইতে খাইতে ভাল লাগেনা দেশেও আসতে পাড়েনা পাগলা কুত্তাহয়ে গেসে,1
35,কুত্তাটাকে ইতর বললে ইতর প্রাণীদের অপমান,1
36,আল্লাহর হুকুম ছাড়া ধোন খাড়া হয়না হাত মারি আল্লাহর হুকুমেই,1
37,তুই গর্দভ একটু চিন্তা কর কমেন্ট কর মূর্খ বেকুব কোথাকার,1
38,গরম তেল পুটকির একটু ঢালেন কিছুটা বুঝতে পারবেন,1
39,লম্পটের চরিত্ত্র,1
40,মাদরাসার হোগামাররি,1
41,শুয়ার জানোয়ার কুকুরের চাইতে নিকৃস্ট তোরা কুকুরের বিস্টা তুরা সকলে,1
42,চুদাদুদির গল্প দেয়,1
43,হেতের বাপে হেতের মায়ের পর্দা ফাটানি লাগানি দেইখা নিয়াই বিয়াত বইছিলো,1
44,আবাল মার্কা পোষ্ট,1
45,আবাল,1
46,মোহাম্মদ নামক ইতর লোকটি,1
47,সিদ্ধার্থ বড় হয়ে মাকে চুদে অর্থাঠ সেক্স আসিফ ভাই মেনে নিবে,1
48,লুইচ্চা নবীর হিজড়া উম্মত,1
49,লুইচ্চা,1
50,শুয়োরের বাচ্চা,1
51,শুয়োরের জাত,1
52,বাল পাকনা পোলাপান,1
53,তুই শালা হিজরা,1
54,কুত্তার বাচ্ছা,1
55,হারামির বাচ্চা,1
56,হারামি,1
57,হারামজাদা,1
58,হারামখোর,1
59,খাঙ্কিরপোলা,1
60,খান্কি মাগির পোলা,1
61,চোদনা,1
62,চুদির ভাই,1
63,চুতমারানি,1
64,চুদির পোলা,1
65,তর মায়রে চুদি,1
66,তর মায়রে বাপ,1
67,শালার পো শালা,1
68,হুমুন্দির পুত,1
69,মাঙ্গির পুত,1
70,নাটকির পো,1
71,ল্যাউড়ার পুত,1
72,হাউয়ার পো,1
73,হাউয়ার নাতি,1
74,চুদানির পো,1
75,ভুদার বেটা,1
76,লটির পো,1
77,লটির বেটা,1
78,ভেড়াচ্চোদা,1
79,মাউড়া চোদা,1
80,হোগার ভিতরে ভইড়া দিমু,1
81,গুয়ার ভিতরে ভইড়া দিমু,1
82,ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দুম,1
83,হালা ল্যাওড়া চোদা,1
84,বানচোত,1
